fallacies.df.Topic;fallacies.df.Intended.Fallacy;fallacies.df.Text;Eric;Pieter;Murilo
Are humans to blame for certain animal extinctions?;No Fallacy;Yes, human beings have hunted and eaten animals for as long as can be shown and they are partly to blame for certain animal extinctions.;1;;
Are humans to blame for certain animal extinctions?;No Fallacy;Humans are not to be blamed for animal extinction.;0;;
Are humans to blame for certain animal extinctions?;No Fallacy;OF course they are!;0;;
Are humans to blame for certain animal extinctions?;No Fallacy;We know that only the fittest can survive in this world.;0;;
Are humans to blame for certain animal extinctions?;No Fallacy;just a test arg;0;;
Are humans to blame for certain animal extinctions?;No Fallacy;Yes, they are.;0;;
Are humans to blame for certain animal extinctions?;Ad Hominem;Extinction is not natural, you dont know what you are talking about!;1;;
Are humans to blame for certain animal extinctions?;No Fallacy;Humans don't care enough for living beings.;1;;
Are humans to blame for certain animal extinctions?;No Fallacy;Humans must be blamed for using animals.;0;;
Are humans to blame for certain animal extinctions?;Ad Hominem;Of course. You throw your garbage into the ocean, dont you? you are responsible for killings. Murderer.;1;;
Are humans to blame for certain animal extinctions?;No Fallacy;Humans are to blame for some animal extinctions.;0;;
Are Quentin Tarantinos movies too violent?;Ad Hominem;Oh now, I'm not going to bebate with you... Habe you even read the instructions?!!;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;They certainly could be more violent. The thing with Quentin Tarantino is that he understands the separation between real life and movies. He understands that movies are supposed to be wild and outrageous and that is exactly what his movies are known for, especially when it comes to violence. Scenes from movies like Django Unchained had body parts exploding off after being shot with a simple handgun. It's supposed to be for entertainment, and nothing more.;;;
Are Quentin Tarantinos movies too violent?;Ad Hominem;If you think they're too violent, maybe you should go back to watching Disney movies because you can't handle the harsh reality of the world.;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;While depiction of violence in movies does reflect violent acts that appear in the real world, such depictions only introduce more negative examples of human behavior into discourse, and thus are all detrimental. Quentin Tarantino's movies are too violent not because of an excess of violence, but that they depict any violence.;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;Multiple people always die in a gruesome way in all of his movies. He also makes it look funny.;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;Everyone can choose what movies to watch, and we should respect everyone's preferences.;;;
Are Quentin Tarantinos movies too violent?;No Fallacy;Sorry, but maybe your son is too young for his movies? My daughter would also cry if she saw Reservoir Dogs, but this does not mean, that the movie is too violent. It does just mean, that she is too young for the movie.;;;
Are Quentin Tarantinos movies too violent?;Ad Hominem;Dont be this soft. Real men are able to watch his movies without crying.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;It could be hard for students to assimilate into mixed gender society.;;;
Are single sex schools more effective than co-ed schools?;No Fallacy;I regard single sex education as bad.;;;
